PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS,Rnktmosns,Yds,Ply,YP,TO,FL,FirstD,Cmp,Att,RnYds,TD,Int,NYAs,FrstDPerPass,RushAtt,RushYdsGnd,RuhingShutD,RshYdspAt,Fstdns,Penalties,Yards,FirstDownsP,Sc,Tos,EXPByOffense,RankByPassingoffense,PassesCompleted,PassesAttempted,PercentageOfPassesCompleted,YdsgainedByPassing,Tds,TDPercentage,Interceptionsthrown,InterceptionsThrownedPercentage,LngstCompletedPassthrown,YardsgainedByPassAttempt,Adugestedyardagained,YardsGainedPerpassCompletion,YardsgainedperPlayedGame,Rating,Timessacked,YdsLostDueToSacks,NYPerPassattempt,AdjustedNYA,SkPercentage,FourQC,GWDByQuarterBacks,ExpectedPointsContributedByPassingOffense,RkByRushingOffense,AttemptsRushing,YdsgainedRushing,TdsRsh,LngstRshAtt,YARsh,YdaPG,Fmbles,EXPPByRshoffense,RkByKickPuntReturns,Rets,PuntsReturnYardage,PuntsreturnedPreTD,LngstPuntRet,YdsgainedPerPuntReturs,KickOffReturns,YardageForKickoffReturns,KickOffReturnsForTD,LngstKickOffReturn,YperRT,AllPurposeYards,RkByKickingPunting,FGAtwenties,FGMtwenties,FGAthirties,FGMthirties,FGAfourties,FGMfourties,FGAfifryplus,FGMfiftyplus,FGAtot,FGMtot,XPAttempted,XPMade,PntTimes,TotPuntYardage,LngstPnt,Blcks,YperPunts,RnkByScoringOffense,RshTD,RecTD,AllTD,TwoPA,XpointsMade,XpointsAttempted,TotalFGM,TotalFGA,Sfty,PtsByAllMeans,PtsPerG,RkByDrives,NumberofDrives,PlaysInDrive,ScPercntge,PercenntageOfDrivesEndingInOffensiveTurnover,AvgPlays,NtsYdsPD,AvgPtsScored,TD1,TD2,TD3,TD4,TD5,TD6,TD7,TD8,TD9,TD10,TD11,TD12,TD13,TD14,TD15,TD16,TD17,TD18,TD19,TD20,TD21,TD22,TD23,TD24,TD25,TD26,PD1,PD2,PD3,PD4,PD5,PD6,PD7,PD8,PD9,PD10,PD11,PD12,PD13,PD14,PD15,PD16,PD17,PD18,PD19,PD20,RDA,RDB,RDC,RDD,RDE,RDF,RDG,PKA,PKB,PKC,PKD,PKE,PKF,PKG,PKH,PKI,KPA,KPB,KPC,KPD,KPF,KPG,SDA,SDB,SDC,SDD,SDE,SDF,ADG,SDH,ADI,DAA,DAB,DAC,DAD,DAE,DAF,DAG,DAH
382,232,150,12.5,-0.4,12.1,9.4,2.7,1,5034,787,6.4,19,10,288,269,423,3592,29,9,8.1,180,345,1442,12,4.2,69,73,556,39,44.4,12,138.5,3,269,423,63.6,3592,29,6.9,9,2.1,68,8.8,9.2,13.8,299.3,105.6,19,117,8.1,8.5,4.3,1,3,185.63,8,345,1442,12,63,4.2,120.2,20,-28.39,8,34,272,0,38,8,26,654,1,108,25.2,6077,11,9,9,8,8,6,5,1,0,24,22,45,42,44,1830,58,1,41.6,1,12,29,45,0,42,45,22,24,2,382,31.8,13,142,812,44.4,12,5.7,35.4,2.49,8,313,5147,982,5.2,33,14,284,343,573,3687,24,19,6.1,177,373,1460,9,3.9,79,130,1202,28,31.7,16.7,57.94,8,343,573,59.9,3687,24,4.2,19,3.3,6.9,6.3,11.5,230.4,80.9,36,270,6.1,5.4,5.9,-11.05,6,373,1460,9,3.9,91.3,59.63,15,25,295,0,11.8,49,1191,0,24.3,23,27,26,29,27,78,31,9,24,27,29,26,27,313,19.6,15,186,1010,31.7,16.7,5.4,27.6,1.66
279,257,22,1.8,-4.2,-2.4,-1.4,-1,14,4643,817,5.7,22,9,276,316,479,3338,17,13,6.6,175,315,1305,11,4.1,75,82,820,26,36.1,16.5,54.91,6,316,479,66,3338,17,3.5,13,2.7,55,7.3,6.8,11,278.2,87.9,23,143,6.6,6.2,4.6,4,3,99.02,16,315,1305,11,46,4.1,108.8,18,-35.07,31,20,224,0,41,11.2,19,479,0,50,25.2,5489,31,6,6,5,4,10,7,1,1,23,19,28,28,46,2193,69,1,47.7,14,11,17,32,3,28,28,19,23,0,279,23.3,27,133,840,36.1,16.5,6.3,34.7,1.95,14,345,5562,996,5.6,23,8,335,370,561,3882,19,15,6.7,197,416,1680,20,4,107,95,728,31,34.3,13.4,-53.03,18,370,561,66,3882,19,3.4,15,2.7,7.1,6.6,10.8,242.6,86.9,19,117,6.7,6.2,3.3,-87.55,14,416,1680,20,4,105,26.97,4,28,272,0,9.7,22,599,0,27.2,1,26,20,39,39,65,12,20,19,39,39,20,26,345,21.6,1,172,1022,34.3,13.4,5.9,32.3,1.94
272,291,-19,-1.6,-0.3,-1.8,-0.3,-1.6,17,4354,810,5.4,21,5,244,319,494,3177,17,16,6.2,151,297,1177,7,4,77,90,837,16,35.5,13.5,-6.86,10,319,494,64.6,3177,17,3.4,16,3.2,50,6.7,6,10.4,264.8,81.9,19,151,6.2,5.5,3.7,3,3,10.93,21,297,1177,7,44,4,98.1,11,-17.31,22,28,363,1,82,13,20,510,0,50,25.5,5378,14,8,8,7,7,10,9,8,2,33,26,24,24,54,2606,67,0,48.3,17,7,17,28,4,24,24,26,33,0,272,22.7,17,141,843,35.5,13.5,6,30.7,1.74,24,401,5398,1000,5.4,14,8,311,350,545,3737,30,6,6.4,189,418,1661,10,4,80,103,748,42,37.4,7,-87.67,10,350,545,64.2,3737,30,5.5,6,1.1,7.3,7.9,11.3,233.6,99.6,37,220,6.4,7,6.4,-132.61,12,418,1661,10,4,103.8,28.52,21,35,176,0,5,9,229,0,25.4,14,36,30,40,37,81,8,10,30,37,40,30,36,401,25.1,18,187,1036,37.4,7,5.5,28.8,1.98
296,278,18,1.5,0.7,2.2,1.5,0.7,10,4208,750,5.6,14,7,221,229,356,2517,20,7,6.5,117,363,1691,13,4.7,88,109,985,16,34.8,8.5,34.87,29,229,356,64.3,2517,20,5.6,7,2,63,7.7,7.9,11.9,209.8,98.2,31,219,6.5,6.7,8,1,2,35.93,4,363,1691,13,48,4.7,140.9,22,4.63,12,24,166,0,27,6.9,33,628,0,31,19,5221,10,4,4,5,4,6,5,5,3,20,16,32,28,63,2957,65,0,46.9,10,13,20,36,4,28,32,16,20,0,296,24.7,18,141,770,34.8,8.5,5.5,29.8,1.98,15,359,5702,1017,5.6,25,8,322,347,602,3972,30,17,6.4,198,394,1730,10,4.4,87,113,906,37,32.5,11,-49.07,19,347,602,57.6,3972,30,5,17,2.8,6.8,6.5,11.8,248.3,83.3,21,125,6.4,6.1,3.4,-54.15,16,394,1730,10,4.4,108.1,-3.65,20,40,353,0,8.8,40,688,0,17.2,20,27,22,37,33,75,21,10,30,33,37,22,27,359,22.4,22,191,1044,32.5,11,5.5,29.7,1.81
373,243,130,10.8,-3.3,7.5,5.9,1.6,3,4333,809,5.4,15,5,268,218,374,2630,25,10,6.6,146,413,1703,13,4.1,101,79,666,21,42.1,9.9,78,27,218,374,58.3,2630,25,6.7,10,2.7,59,7.5,7.6,12.8,219.2,93,22,167,6.6,6.8,5.6,3,3,82.35,3,413,1703,13,43,4.1,141.9,8,-8.5,29,25,233,0,37,9.3,15,274,0,33,18.3,5007,1,10,10,2,2,13,10,4,2,30,25,43,40,54,2457,65,0,45.5,3,13,25,43,0,40,43,25,30,0,373,31.1,3,152,839,42.1,9.9,5.5,28.9,2.29,6,308,5167,1058,4.9,39,15,298,390,650,3752,21,24,5.4,198,364,1415,11,3.9,74,99,822,26,26.5,19.4,74.33,11,390,650,60,3752,21,3.2,24,3.7,6.2,5.2,10.4,234.5,73.5,44,302,5.4,4.5,6.3,40.73,4,364,1415,11,3.9,88.4,32.12,3,37,288,1,7.8,34,905,1,26.6,32,26,20,30,28,78,32,11,21,28,30,20,26,308,19.3,28,196,1084,26.5,19.4,5.5,26.2,1.45
251,290,-39,-3.3,2.6,-0.6,-0.3,-0.3,24,4175,788,5.3,15,7,234,252,405,2787,14,8,6.6,133,363,1388,11,3.8,79,82,751,22,37,10.1,10.4,20,252,405,62.2,2787,14,3.5,8,2,87,7.2,7,11.5,232.3,87,20,109,6.6,6.4,4.7,3,3,45.89,11,363,1388,11,27,3.8,115.7,18,-30.21,21,27,212,0,34,7.9,22,585,0,74,26.6,5081,17,6,6,10,8,8,6,6,5,31,26,20,19,58,2565,72,0,44.2,24,11,14,25,5,19,20,26,31,0,251,20.9,20,138,819,37,10.1,5.9,30.2,1.83,20,397,5527,981,5.6,17,9,307,322,513,3593,31,8,6.6,182,433,1934,9,4.5,103,98,895,22,36.6,8,-87.45,4,322,513,62.8,3593,31,6,8,1.6,7.5,8,11.9,224.6,99.1,35,237,6.6,7,6.4,-101.61,23,433,1934,9,4.5,120.9,8.7,10,30,229,1,7.6,39,983,2,25.2,12,28,24,46,43,74,10,9,31,43,46,24,28,397,24.8,3,175,1008,36.6,8,5.8,31.4,2.01
334,196,138,11.5,0.9,12.4,4.9,7.5,4,4515,760,5.9,12,6,249,255,385,3095,25,6,7.6,145,355,1420,14,4,78,84,728,26,42.5,9,112.35,12,255,385,66.2,3095,25,6.5,6,1.6,80,8.3,8.9,12.6,257.9,107.2,20,118,7.6,8.2,4.9,3,3,143.47,9,355,1420,14,30,4,118.3,14,-22.16,5,36,343,0,35,9.5,26,540,0,58,20.8,5516,21,4,4,6,5,11,9,0,0,21,18,39,38,47,2067,67,1,44,4,14,25,40,1,38,39,18,21,0,334,27.8,26,134,781,42.5,9,5.8,33.4,2.44,2,279,5453,1032,5.3,28,7,307,415,646,3976,18,21,5.8,202,344,1477,8,4.3,74,116,1063,31,28.9,15,24.23,20,415,646,64.2,3976,18,2.8,21,3.3,6.6,5.7,10.3,248.5,78.9,42,288,5.8,4.9,6.1,-15.92,7,344,1477,8,4.3,92.3,27.56,27,32,203,0,6.3,46,1041,0,22.6,18,31,26,27,27,77,26,8,18,27,27,26,31,279,17.4,9,180,1063,28.9,15,5.9,30.3,1.44
216,347,-131,-10.9,2.7,-8.3,-3.2,-5,30,3969,772,5.1,22,15,221,294,468,3082,18,7,6.1,149,263,887,2,3.4,47,92,842,25,28.5,14.6,-31.19,13,294,468,62.8,3082,18,3.8,7,1.5,61,7.2,7.3,11.4,256.8,90.8,41,267,6.1,6.1,8.1,1,1,35.64,32,263,887,2,32,3.4,73.9,20,-55.58,19,23,285,1,78,12.4,27,686,0,40,25.4,5207,30,8,8,5,5,7,6,1,0,21,19,19,17,58,2745,67,0,47.3,30,2,18,23,4,17,19,19,21,0,216,18,21,137,793,28.5,14.6,5.8,28.9,1.44,29,432,6067,998,6.1,21,10,321,322,511,4012,34,11,7.4,186,458,2055,11,4.5,104,108,833,31,41.9,11.7,-114.79,22,322,511,63,4012,34,6.7,11,2.2,8.2,8.5,12.9,250.8,101.8,29,157,7.4,7.8,5.4,-128.02,30,458,2055,11,4.5,128.4,6.14,14,37,381,1,10.3,42,894,0,21.3,3,35,30,45,44,63,3,11,34,44,45,30,35,432,27,6,179,1033,41.9,11.7,5.8,33.8,2.26
223,277,-54,-4.5,-0.9,-5.4,-6.3,0.9,29,3961,739,5.4,22,8,240,257,388,2598,12,14,6.3,129,326,1363,7,4.2,76,88,689,35,34.6,16.5,-20.24,28,257,388,66.2,2598,12,3.1,14,3.6,67,7.1,6.1,10.7,216.5,82.1,25,149,6.3,5.3,6.1,1,2,-2.27,13,326,1363,7,45,4.2,113.6,15,-10.76,28,23,128,0,22,5.6,18,466,0,79,25.9,4704,32,7,7,9,9,6,5,4,4,26,25,20,20,49,2223,61,0,45.4,29,7,12,21,1,20,20,25,26,0,223,18.6,32,127,764,34.6,16.5,6,31.2,1.64,16,374,5567,997,5.6,11,3,317,330,506,3636,19,8,6.8,172,460,1931,16,4.2,113,113,900,32,36.7,5.6,-64.24,5,330,506,65.2,3636,19,3.8,8,1.6,7.6,7.7,11.7,227.3,94.2,31,229,6.8,6.8,5.8,-86,22,460,1931,16,4.2,120.7,8.76,8,24,162,0,6.8,23,549,1,23.9,2,36,30,38,36,74,2,16,19,36,38,30,36,374,23.4,5,177,1034,36.7,5.6,5.8,31.5,1.89
269,210,59,4.9,1.2,6.2,-0.7,6.8,19,4100,780,5.3,21,1,231,266,441,2843,14,20,6.1,150,312,1257,9,4,62,88,834,19,31,14.5,-12.77,18,266,441,60.3,2843,14,3.2,20,4.5,75,6.8,5.4,11.3,236.9,72.5,27,169,6.1,4.8,5.8,3,3,11,17,312,1257,9,72,4,104.8,5,-22.53,30,20,209,1,83,10.5,20,446,0,41,22.3,4924,6,9,9,5,5,4,3,7,5,25,22,27,27,67,2918,62,0,43.6,19,9,14,29,1,27,27,22,25,1,269,22.4,9,145,805,31,14.5,5.6,28.3,1.57,4,296,4530,1033,4.4,27,13,289,344,573,3193,19,14,5.1,162,408,1337,10,3.3,81,104,773,46,26.9,11.9,110.14,1,344,573,60,3193,19,3.3,14,2.4,6.2,5.7,10.3,199.6,78.8,52,351,5.1,4.7,8.3,45.65,3,408,1337,10,3.3,83.6,55.09,5,36,247,0,6.9,25,508,0,20.3,26,32,25,28,27,92,14,10,19,27,28,25,32,296,18.5,31,201,1065,26.9,11.9,5.3,22.5,1.38
253,315,-62,-5.2,3,-2.1,-0.4,-1.8,23,4100,778,5.3,22,9,243,311,485,3180,23,13,6.2,175,262,920,4,3.5,42,78,701,26,32.4,14.7,9.02,9,311,485,64.1,3180,23,4.7,13,2.7,57,6.9,6.7,10.8,265,89.1,31,185,6.2,5.9,6,2,2,48.91,31,262,920,4,36,3.5,76.7,14,-34.96,11,26,177,0,28,6.8,32,932,0,104,29.1,5394,18,3,3,4,4,6,6,4,4,17,17,27,24,64,2950,66,0,46.1,23,4,23,29,2,24,27,17,17,2,253,21.1,22,136,795,32.4,14.7,5.8,30.1,1.76,23,400,5597,998,5.6,19,10,319,360,528,3789,27,9,6.6,191,428,1808,18,4.2,96,96,785,32,38.2,9.1,-85.51,15,360,528,68.2,3789,27,5.1,9,1.7,7.7,8,11.3,236.8,100.9,42,276,6.6,6.9,7.4,-109.01,19,428,1808,18,4.2,113,16.57,23,43,263,0,6.1,33,814,0,24.7,15,29,25,44,41,72,15,18,27,41,44,25,29,400,25,17,186,1028,38.2,9.1,5.5,30,2.13
289,238,51,4.3,1.2,5.4,2.3,3.1,12,4097,767,5.3,9,4,235,260,426,2757,26,5,6.1,130,312,1340,5,4.3,72,77,649,33,36.2,6.4,67.28,23,260,426,61,2757,26,6.1,5,1.2,65,6.9,7.6,11.4,229.8,97.3,29,200,6.1,6.7,6.4,2,2,82.91,15,312,1340,5,65,4.3,111.7,16,-14.93,23,22,115,0,16,5.2,26,668,0,70,25.7,5080,13,4,4,3,3,9,7,5,4,22,19,28,28,61,2615,62,0,42.9,12,5,26,33,5,28,28,19,22,0,289,24.1,16,141,789,36.2,6.4,5.6,29,1.99,12,323,5547,1014,5.5,22,6,300,321,551,3642,20,16,6.1,183,420,1905,13,4.5,96,120,1107,21,31.3,11.5,5.29,6,321,551,58.3,3642,20,3.6,16,2.9,7.1,6.5,12.1,227.6,80.1,43,256,6.1,5.6,7.2,-4.36,21,420,1905,13,4.5,119.1,0.6,12,41,174,0,4.2,37,988,0,26.7,17,28,24,34,31,82,18,13,20,31,34,24,28,323,20.2,12,182,1042,31.3,11.5,5.7,30.4,1.66
253,264,-11,-0.9,-0.6,-1.5,-2.9,1.4,22,4338,864,5,15,5,264,288,500,3137,25,10,6,171,340,1201,5,3.5,67,84,743,26,28.1,9.8,-0.69,11,288,500,57.6,3137,25,5,10,2,61,6.6,6.7,11.4,261.4,85.8,24,154,6,6.1,4.6,2,2,42.71,19,340,1201,5,21,3.5,100.1,16,-44.14,16,38,279,0,17,7.3,17,411,0,41,24.2,5182,7,3,3,5,5,5,4,1,0,15,13,28,24,75,3511,64,0,46.8,22,5,25,31,3,24,28,13,15,0,253,21.1,1,153,879,28.1,9.8,5.7,28.4,1.63,7,313,4963,986,5,25,11,281,326,553,3366,24,14,5.6,173,388,1597,10,4.1,79,116,991,29,27.3,11.1,47.11,3,326,553,59,3366,24,4.3,14,2.5,6.6,6.4,11.3,210.4,82.8,45,311,5.6,5.4,7.5,7.39,10,388,1597,10,4.1,99.8,35.04,13,60,612,0,10.2,40,977,0,24.4,30,26,20,35,31,101,11,10,24,31,35,20,26,313,19.6,30,198,1012,27.3,11.1,5.1,25,1.51
259,305,-46,-3.8,0.2,-3.6,-1.7,-1.9,20,4035,804,5,25,9,240,279,477,2969,23,16,5.9,154,299,1066,4,3.6,53,80,621,33,30.1,15.8,-9.08,16,279,477,58.5,2969,23,4.8,16,3.4,87,6.5,6,11.2,247.4,80.2,28,155,5.9,5.4,5.5,2,4,49.47,27,299,1066,4,25,3.6,88.8,17,-54.49,6,26,141,0,22,5.4,36,874,0,60,24.3,5205,19,5,4,3,3,7,7,4,3,19,17,28,26,61,2958,61,0,48.5,20,4,23,30,2,26,28,17,19,0,259,21.6,7,146,823,30.1,15.8,5.6,27.6,1.64,25,408,6066,1072,5.7,25,8,331,354,585,4114,29,17,6.6,210,452,1952,14,4.3,89,133,1168,32,36.6,12.4,-52.3,24,354,585,60.5,4114,29,5,17,2.9,7.5,7.1,12.3,257.1,88,35,251,6.6,6.3,5.6,-97.34,25,452,1952,14,4.3,122,37.08,29,36,386,3,10.7,8,156,0,19.5,19,35,28,44,40,80,9,14,29,40,44,28,35,408,25.5,27,194,1107,36.6,12.4,5.7,31.1,1.98
