WL,PD,MoV,SoS,SRS,OSRS,DSRS,Rnktmosns,Yds,Ply,YP,TO,FL,FirstD,Cmp,Att,RnYds,TD,Int,NYAs,FrstDPerPass,RushAtt,RushYdsGnd,RuhingShutD,RshYdspAt,Fstdns,Penalties,Yards,FirstDownsP,Sc,Tos,EXPByOffense,RankByPassingoffense,PassesCompleted,PassesAttempted,PercentageOfPassesCompleted,YdsgainedByPassing,Tds,TDPercentage,Interceptionsthrown,InterceptionsThrownedPercentage,LngstCompletedPassthrown,YardsgainedByPassAttempt,Adugestedyardagained,YardsGainedPerpassCompletion,YardsgainedperPlayedGame,Rating,Timessacked,YdsLostDueToSacks,NYPerPassattempt,AdjustedNYA,SkPercentage,FourQC,GWDByQuarterBacks,ExpectedPointsContributedByPassingOffense,RkByRushingOffense,AttemptsRushing,YdsgainedRushing,TdsRsh,LngstRshAtt,YARsh,YdaPG,Fmbles,EXPPByRshoffense,RkByKickPuntReturns,Rets,PuntsReturnYardage,PuntsreturnedPreTD,LngstPuntRet,YdsgainedPerPuntReturs,KickOffReturns,YardageForKickoffReturns,KickOffReturnsForTD,LngstKickOffReturn,YperRT,AllPurposeYards,RkByKickingPunting,FGAtwenties,FGMtwenties,FGAthirties,FGMthirties,FGAfourties,FGMfourties,FGAfifryplus,FGMfiftyplus,FGAtot,FGMtot,XPAttempted,XPMade,PntTimes,TotPuntYardage,LngstPnt,Blcks,YperPunts,RnkByScoringOffense,RshTD,RecTD,AllTD,TwoPA,XpointsMade,XpointsAttempted,TotalFGM,TotalFGA,Sfty,PtsByAllMeans,PtsPerG,RkByDrives,NumberofDrives,PlaysInDrive,ScPercntge,PercenntageOfDrivesEndingInOffensiveTurnover,AvgPlays,NtsYdsPD,AvgPtsScored,TD1,TD2,TD3,TD4,TD5,TD6,TD7,TD8,TD9,TD10,TD11,TD12,TD13,TD14,TD15,TD16,TD17,TD18,TD19,TD20,TD21,TD22,TD23,TD24,TD25,TD26,PD1,PD2,PD3,PD4,PD5,PD6,PD7,PD8,PD9,PD10,PD11,PD12,PD13,PD14,PD15,PD16,PD17,PD18,PD19,PD20,RDA,RDB,RDC,RDD,RDE,RDF,RDG,PKA,PKB,PKC,PKD,PKE,PKF,PKG,PKH,PKI,KPA,KPB,KPC,KPD,KPF,KPG,SDA,SDB,SDC,SDD,SDE,SDF,ADG,SDH,ADI,DAA,DAB,DAC,DAD,DAE,DAF,DAG,DAH
0.688,11,0.7,1.3,2,-2.4,4.4,24,5116,993,5.2,17,5,302,320,568,3808,21,12,6.4,191,397,1308,6,3.3,67,91,707,44,30.9,9.4,-15.68,14,320,568,56.3,3808,21,3.7,12,2.1,81,7,6.8,12.5,238,81.8,28,182,6.4,6.2,4.7,3,3,55.43,31,397,1308,6,22,3.3,81.8,16,-59.05,31,26,277,1,71,10.7,22,417,0,43,19,6015,8,5,5,14,12,11,10,3,2,33,29,27,27,92,3815,67,2,41.5,24,6,21,32,5,27,27,29,33,0,310,19.4,18,181,1026,30.9,9.4,5.7,28.3,1.52,5,299,5891,1010,5.8,25,7,300,365,579,4152,22,18,6.8,195,396,1739,9,4.4,77,130,1192,28,29.8,12.8,3.41,29,365,579,63,4152,22,3.8,18,3.1,7.6,7,12,259.5,86,35,244,6.8,6.2,5.7,-31.99,13,396,1739,9,4.4,108.7,27.44,2,32,284,0,8.9,37,967,0,26.1,25,32,25,32,32,78,9,9,22,32,32,25,32,299,18.7,22,188,1042,29.8,12.8,5.5,31.3,1.55
0.375,-36,-2.3,-1.6,-3.8,0.6,-4.4,12,6051,1035,5.8,23,8,330,418,632,4553,28,15,6.9,233,372,1498,11,4,75,97,840,22,38.9,13.1,68.84,5,418,632,66.1,4553,28,4.4,15,2.4,79,7.5,7.3,11.4,284.6,93.4,31,205,6.9,6.7,4.7,3,3,105.81,24,372,1498,11,55,4,93.6,16,-26.32,19,18,239,1,68,13.3,50,1174,0,66,23.5,7791,21,10,10,4,4,8,8,10,7,32,29,40,40,67,3063,66,0,45.7,12,11,28,42,2,40,40,29,32,0,381,23.8,27,175,1067,38.9,13.1,6.1,34.6,2.06,27,417,6372,1038,6.1,28,12,358,359,566,4478,20,16,7.6,224,450,1894,21,4.2,108,91,744,26,42.6,14.2,-136.13,32,359,566,63.4,4478,20,3.5,16,2.8,8.2,7.6,12.9,279.9,88.9,22,140,7.6,7.1,3.7,-131.54,21,450,1894,21,4.2,118.4,-7.5,14,26,250,0,9.6,36,820,0,22.8,10,38,31,42,40,56,21,21,20,40,42,31,38,417,26.1,1,169,1076,42.6,14.2,6.4,37.6,2.25
0.625,107,6.7,-2.1,4.6,1.8,2.8,8,5838,1021,5.7,20,8,345,344,554,3819,27,12,6.7,194,448,2019,16,4.5,113,111,870,38,39.6,9.9,128.84,13,344,554,62.1,3819,27,4.9,12,2.2,80,7.2,7.2,11.6,238.7,91,19,167,6.7,6.7,3.3,2,2,153.58,8,448,2019,16,52,4.5,126.2,16,-18.6,17,32,292,0,45,9.1,38,1077,1,108,28.3,7420,29,10,10,11,11,4,4,9,4,34,29,42,42,60,2841,73,0,47.4,8,16,27,46,3,42,42,29,34,1,409,25.6,15,182,1055,39.6,9.9,5.8,32,2.13,6,302,5391,1034,5.2,22,11,311,382,595,3979,22,11,6.2,205,390,1412,8,3.6,75,110,1007,31,33.3,11.7,-21.36,23,382,595,64.2,3979,22,3.7,11,1.8,7.3,7.2,11.4,248.7,90.6,49,362,6.2,6.1,7.6,-91.25,4,390,1412,8,3.6,88.3,66.68,15,23,166,0,7.2,26,601,0,23.1,4,36,30,28,28,76,25,8,22,28,28,30,36,302,18.9,13,180,1070,33.3,11.7,5.9,29.8,1.67
0.563,54,3.4,1.6,4.9,-0.4,5.3,18,5096,1020,5,23,10,273,363,579,3614,23,13,5.8,186,402,1482,7,3.7,65,124,1031,22,32.5,11.2,-49.72,18,363,579,62.7,3614,23,4,13,2.2,84,6.7,6.4,10.6,225.9,86,39,242,5.8,5.6,6.3,2,3,21.36,25,402,1482,7,53,3.7,92.6,22,-65.53,18,37,354,1,75,9.6,33,770,1,102,23.3,6505,4,9,9,13,12,8,7,8,6,38,34,32,31,86,3692,67,0,42.9,18,7,23,34,2,31,32,34,38,1,343,21.4,5,197,1058,32.5,11.2,5.4,25.8,1.58,4,289,4995,1027,4.9,30,11,302,337,559,3292,16,19,5.4,171,414,1703,10,4.1,89,104,849,42,28.3,14.1,75.16,3,337,559,60.3,3292,16,2.9,19,3.4,6.4,5.5,10.7,205.8,74.5,54,308,5.4,4.5,8.8,35.24,11,414,1703,10,4.1,106.4,34.39,16,38,246,0,6.5,32,639,0,20,29,37,30,27,27,88,15,10,16,27,27,30,37,289,18.1,29,198,1064,28.3,14.1,5.4,25.2,1.37
0.469,-35,-2.2,-0.9,-3.1,-2.4,-0.7,19,5547,1060,5.2,23,11,347,327,545,3511,23,12,6,199,473,2036,10,4.3,117,83,756,31,34.8,11.8,29.83,19,327,545,60,3511,23,4.2,12,2.2,51,7,6.9,11.7,219.4,86.2,42,317,6,5.8,7.2,3,2,56.09,7,473,2036,10,69,4.3,127.3,25,-18.45,20,30,239,1,79,8,37,805,0,49,21.8,6923,14,7,7,13,12,12,9,3,1,35,29,34,34,74,3236,72,1,43.7,19,10,23,36,2,34,34,29,35,0,339,21.2,24,178,1095,34.8,11.8,6.2,31,1.79,21,374,5437,999,5.4,26,12,309,364,562,3645,25,14,6.1,193,397,1792,14,4.5,91,97,760,25,34.1,14,-39.67,11,364,562,64.8,3645,25,4.4,14,2.5,7,6.7,10.8,227.8,89.5,40,268,6.1,5.8,6.6,-51.81,16,397,1792,14,4.5,112,9.52,13,28,435,1,15.5,18,584,0,32.4,18,28,22,44,44,72,14,14,25,44,44,22,28,374,23.4,11,179,1027,34.1,14,5.7,30.3,1.89
0.313,-123,-7.7,1,-6.7,-2,-4.7,23,5233,1005,5.2,29,10,322,396,609,3792,30,19,5.8,194,355,1441,8,4.1,91,113,997,37,27.8,16.1,-15.53,15,396,609,65,3792,30,4.9,19,3.1,74,6.6,6.2,10.2,237,87.3,41,243,5.8,5.4,6.3,1,1,-2.52,27,355,1441,8,32,4.1,90.1,19,-7.23,11,21,109,0,22,5.2,55,1290,1,101,23.5,6865,32,5,5,4,3,6,4,1,0,16,12,35,33,72,3107,61,1,43.2,23,8,30,40,5,33,35,12,16,0,319,19.9,19,180,1021,27.8,16.1,5.7,29,1.68,31,442,6033,1008,6,24,10,325,366,548,4230,34,14,7.2,227,421,1803,12,4.3,78,106,978,20,44.6,12.4,-106.73,30,366,548,66.8,4230,34,6.2,14,2.6,8.1,8.2,12.2,264.4,101.7,39,228,7.2,7.3,6.6,-135.41,17,421,1803,12,4.3,112.7,14.42,22,33,335,1,10.2,35,614,0,17.5,1,39,33,49,49,49,10,12,34,49,49,33,39,442,27.6,7,177,1047,44.6,12.4,5.9,34,2.38
0.656,21,1.3,-0.6,0.7,-0.5,1.3,15,5568,1018,5.5,26,9,313,323,503,3421,20,17,6.5,164,492,2147,19,4.4,122,102,812,27,34,13.1,7.02,21,323,503,64.2,3421,20,4,17,3.4,81,7.1,6.3,11,213.8,84.2,23,130,6.5,5.8,4.4,4,3,9.94,6,492,2147,19,89,4.4,134.2,20,3.67,3,40,436,0,49,10.9,45,1241,0,97,27.6,7370,12,6,6,12,10,12,10,3,0,33,26,39,39,73,3419,69,0,46.8,15,19,20,40,1,39,39,26,33,3,365,22.8,12,191,1051,34,13.1,5.5,29.1,1.84,12,344,5749,1067,5.4,26,6,337,365,608,3888,18,20,6.2,197,439,1861,16,4.2,105,105,876,35,32.6,13.6,-30.61,20,365,608,60,3888,18,3,20,3.3,6.6,5.7,11,243,75.8,20,125,6.2,5.3,3.2,-53.38,20,439,1861,16,4.2,116.3,9.88,30,30,226,1,7.5,44,1123,0,25.5,20,32,26,34,34,75,18,16,18,34,34,26,32,344,21.5,20,184,1099,32.6,13.6,6,31.1,1.72
0.438,-38,-2.4,-1.5,-3.9,-4.8,0.9,27,5193,1010,5.1,23,7,294,274,502,3465,12,16,6.5,179,477,1728,17,3.6,88,116,932,27,28,10.9,-32,20,274,502,54.6,3465,12,2.4,16,3.2,81,7.3,6.4,13.4,216.6,72.8,31,213,6.5,5.6,5.8,4,4,23.61,17,477,1728,17,36,3.6,108,17,-47.08,24,27,181,0,37,6.7,37,801,0,39,21.6,6410,6,6,6,15,12,8,6,3,1,32,25,30,30,93,4119,59,0,44.3,27,17,12,32,2,30,30,25,32,1,299,18.7,8,193,1042,28,10.9,5.4,26.8,1.44,9,337,5857,1118,5.2,29,8,348,335,587,3592,22,21,5.8,184,500,2265,13,4.5,126,98,769,38,32.3,13.6,0.76,8,335,587,57.1,3592,22,3.7,21,3.6,6.4,5.6,11.3,224.5,74.1,31,191,5.8,5,5,0.66,32,500,2265,13,4.5,141.6,-7.89,9,42,295,0,7,31,695,0,22.4,27,34,29,34,34,86,6,13,22,34,34,29,34,337,21.1,28,198,1152,32.3,13.6,5.8,29.3,1.68
0.75,115,7.2,-1.8,5.4,5.3,0.1,5,6138,1014,6.1,25,14,342,328,476,3784,37,11,7.5,205,508,2354,16,4.6,106,105,839,31,43.6,12.8,172.14,16,328,476,68.9,3784,37,7.8,11,2.3,68,8.4,8.9,12.2,236.5,110.9,30,224,7.5,8,5.9,4,5,196.41,2,508,2354,16,65,4.6,147.1,21,-17.9,25,30,275,0,38,9.2,33,790,0,42,23.9,7434,15,6,6,7,6,9,8,7,5,29,25,56,56,58,2586,64,1,44.6,5,16,37,56,0,56,56,25,29,0,467,29.2,22,179,1043,43.6,12.8,5.8,34.1,2.49,15,352,5681,978,5.8,31,13,315,371,558,4031,22,18,6.9,195,392,1650,18,4.2,86,104,861,34,31.3,16.8,-68.86,26,371,558,66.5,4031,22,3.9,18,3.2,7.5,6.8,11.3,251.9,88.5,28,156,6.9,6.2,4.8,-102.27,8,392,1650,18,4.2,103.1,21.31,8,25,240,0,9.6,43,921,0,21.4,19,18,16,41,40,67,28,18,22,40,41,16,18,352,22,12,179,996,31.3,16.8,5.6,31.7,1.83
0.75,128,8,1.6,9.6,9.2,0.4,2,6446,1067,6,20,5,360,399,607,4661,40,15,7.5,227,443,1785,15,4,98,120,1045,35,39.9,9.6,130.29,4,399,607,65.7,4661,40,6.6,15,2.5,86,7.9,8.1,12,291.3,101.3,17,118,7.5,7.7,2.7,1,1,161.99,15,443,1785,15,47,4,111.6,16,-29,15,41,296,0,22,7.2,32,802,0,77,25.1,7674,7,9,9,8,7,7,5,3,1,29,24,56,56,69,3048,65,0,44.2,2,15,40,58,2,56,56,24,29,1,482,30.1,4,198,1096,39.9,9.6,5.5,32.6,2.31,17,354,4883,1031,4.7,25,7,311,399,641,3607,29,18,5.3,219,349,1276,9,3.7,60,103,816,32,31.3,11.8,13.81,9,399,641,62.2,3607,29,4.5,18,2.8,6,5.7,9.7,225.4,82.4,41,252,5.3,5,6,-45.39,2,349,1276,9,3.7,79.8,52.59,18,33,371,1,11.2,35,905,0,25.9,26,28,23,37,37,88,31,9,29,37,37,23,28,354,22.1,25,195,1059,31.3,11.8,5.4,24.9,1.72
